Author,transformed_url
https://www.goodreads.com/author/show/6968836.Selina_Hossain?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6968836.Selina_Hossain?page=3&per_page=30
https://www.goodreads.com/author/show/13649137.Tapan_Bandyopadhyay?from_search=true&from_srp=true,https://www.goodreads.com/author/list/13649137.Tapan_Bandyopadhyay?page=3&per_page=30
https://www.goodreads.com/author/show/5777262.Nabarun_Bhattacharya?from_search=true&from_srp=true,https://www.goodreads.com/author/list/5777262.Nabarun_Bhattacharya?page=3&per_page=30
https://www.goodreads.com/author/show/6983656.Humayun_Ahmed?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6983656.Humayun_Ahmed?page=3&per_page=30
https://www.goodreads.com/author/show/6456590.Abul_Bashar?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6456590.Abul_Bashar?page=3&per_page=30
https://www.goodreads.com/author/show/6456590.Abul_Bashar?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6456590.Abul_Bashar?page=3&per_page=30
https://www.goodreads.com/author/show/4858954.Bibhutibhushan_Mukhopadhyay?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4858954.Bibhutibhushan_Mukhopadhyay?page=3&per_page=30
https://www.goodreads.com/author/show/6526140.Golam_Mostofa?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6526140.Golam_Mostofa?page=3&per_page=30
https://www.goodreads.com/author/show/14014348.Muhammad_Habibur_Rahman,https://www.goodreads.com/author/list/14014348.Muhammad_Habibur_Rahman?page=3&per_page=30
https://www.goodreads.com/author/show/6983656.Humayun_Ahmed,https://www.goodreads.com/author/list/6983656.Humayun_Ahmed?page=3&per_page=30
https://www.goodreads.com/author/show/8129412.Humayun_Azad,https://www.goodreads.com/author/list/8129412.Humayun_Azad?page=3&per_page=30
https://www.goodreads.com/author/show/1081625.Sukumar_Sen?from_search=true&from_srp=true,https://www.goodreads.com/author/list/1081625.Sukumar_Sen?page=3&per_page=30
https://www.goodreads.com/author/show/8023548.Sudhindranath_Dutta?from_search=true&from_srp=true,https://www.goodreads.com/author/list/8023548.Sudhindranath_Dutta?page=3&per_page=30
https://www.goodreads.com/author/show/4858945.Manoj_Basu?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4858945.Manoj_Basu?page=3&per_page=30
https://www.goodreads.com/author/show/15510184.Abul_Fazal?from_search=true&from_srp=true,https://www.goodreads.com/author/list/15510184.Abul_Fazal?page=3&per_page=30
https://www.goodreads.com/author/show/4858993.Achintyakumar_Sengupta?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4858993.Achintyakumar_Sengupta?page=3&per_page=30
https://www.goodreads.com/author/show/6953928.Shibram_Chakraborty?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6953928.Shibram_Chakraborty?page=3&per_page=30
https://www.goodreads.com/author/show/20221223.Jasimuddin?from_search=true&from_srp=true,https://www.goodreads.com/author/list/20221223.Jasimuddin?page=3&per_page=30
https://www.goodreads.com/author/show/16095830.Motaher_Hussain_Chowdhury?from_search=true&from_srp=true,https://www.goodreads.com/author/list/16095830.Motaher_Hussain_Chowdhury?page=3&per_page=30
https://www.goodreads.com/author/show/635282.Premendra_Mitra?from_search=true&from_srp=true,https://www.goodreads.com/author/list/635282.Premendra_Mitra?page=3&per_page=30
https://www.goodreads.com/author/show/4858948.Syed_Mujtaba_Ali?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4858948.Syed_Mujtaba_Ali?page=3&per_page=30
https://www.goodreads.com/author/show/4858943.Annada_Shankar_Ray?from_search=true&from_srp=true,https://www.goodreads.com/author/list/4858943.Annada_Shankar_Ray?page=3&per_page=30
https://www.goodreads.com/author/show/900215.Humayun_Kabir?from_search=true&from_srp=true,https://www.goodreads.com/author/list/900215.Humayun_Kabir?page=3&per_page=30
https://www.goodreads.com/author/show/6521516.Satinath_Bhaduri?from_search=true&from_srp=true,https://www.goodreads.com/author/list/6521516.Satinath_Bhaduri?page=3&per_page=30
https://www.goodreads.com/author/show/11020240.Abu_Sayeed_Ayyub?from_search=true&from_srp=true,https://www.goodreads.com/author/list/11020240.Abu_Sayeed_Ayyub?page=3&per_page=30
https://www.goodreads.com/author/show/19138333.Bande_Ali_Mia?from_search=true&from_srp=true,https://www.goodreads.com/author/list/19138333.Bande_Ali_Mia?page=3&per_page=30
https://www.goodreads.com/author/show/8087220.Satyen_Sen?from_search=true&from_srp=true,https://www.goodreads.com/author/list/8087220.Satyen_Sen?page=3&per_page=30
https://www.goodreads.com/author/show/17829134._?from_search=true&from_srp=true,https://www.goodreads.com/author/list/17829134._?page=3&per_page=30
